# Vocabulaire des themes appris sur le corpus (corpus.ApprendreThemes) : ne pas modifier a la main.
# langue	theme	racine	poids
en	sante	aid	1.84
en	voyage	aida	5.29
en	sante	aimed	2.18
en	fiction	ain	4.32
en	sciences	air	1.00
en	voyage	airbnb	5.60
en	histoire_societe	aircraft	2.11
en	cinema_series	aired	4.12
en	voyage	airport	4.11
en	musique	alan	2.61
en	sciences	albert	2.31
en	musique	album	5.38
en	sport_nutrition	albumin	6.84
en	sante	alcohol	2.30
en	sante	alert	1.04
en	maths	algebra	4.77
en	donnees_ia	algorithm	1.27
en	programmation	algorithm	3.21
en	fiction	alien	2.52
en	web	align	2.52
en	fiction	aliv	2.79
en	sciences	alkali	6.32
en	sciences	alkalian	6.66
en	sciences	alkalic	6.91
en	philosophie_religion	allah	3.76
en	droit	alleg	3.96
en	droit	allegati	3.77
en	histoire_societe	alli	2.82
en	histoire_societe	allianc	3.07
en	programmation	allocat	1.25
en	sciences	alloy	3.99
en	fiction	allur	3.76
en	histoire_societe	ally	2.39
en	cuisine	almond	3.39
en	fiction	almost	2.76
en	fiction	alon	3.11
en	donnees_ia	alpha	1.17
en	sport_nutrition	alpha	1.22
en	langues_traduction	alphabet	2.64
en	programmation	alphabet	1.06
en	redaction_pro	already	1.20
en	fiction	alright	2.93
en	sport_nutrition	alt	1.72
en	web	alt	2.66
en	histoire_societe	alternat	2.56
en	cuisine	alternativ	1.07
en	sciences	aluminum	2.73
en	fiction	alway	2.57
en	fiction	aly	3.68
en	sante	alzheim	5.24
en	marketing_business	amaz	2.13
en	musique	ambient	3.31
en	informatique_materiel	amd	3.48
en	droit	amend	2.52
en	droit	amendment	4.38
en	histoire_societe	america	3.12
en	histoire_societe	american	2.32
en	langues_traduction	american	1.43
